numero_uai,denomination_principale,dénomination complémentaire,code_postal_uai,localité_acheminement,departement,nature_uai,nature libellé,Ministère tutelle 
0520809X,INSTITUT MEDICO-EDUCATIF,CHATEAU RENARD,52400,BOURBONNE LES BAINS,052,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0520869M,ETABL.POUR DEF.INTELLECTUELS,INSTITUT MEDICO-EDUCATIF,52000,CHAUMONT,052,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0520889J,ETABL.POUR DEF.INTELLECTUELS,INSTITUT MEDICO EDUCATIF,52100,ST DIZIER,052,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0521113C,INSTITUT MEDICO EDUCATIF,LE BOIS L'ABBESSE LANGRES,52200,LANGRES,052,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0530518A,INSTITUT MEDICO PEDAGOGIQUE,JEAN BAPTISTE MESSAGER,53022,LAVAL CEDEX 9,053,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0530772B,ETABL.POUR DEF.INTELLECTUELS,I.M.P SAINT AMADOUR,53800,LA SELLE CRAONNAISE,053,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0530773C,ETABL.POUR DEF.INTELLECTUELS,I.M.E.,53000,LAVAL,053,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0530774D,INSTITUT MEDICO EDUCATIF,LEON DOUDARD,53220,MONTAUDIN,053,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0530775E,ETABL.POUR DEF.INTELLECTUELS,IMP BEL AUBEPIN,53600,EVRON,053,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0530777G,INSTITUT MEDICO-EDUCATIF,LA MAILLARDIERE,53202,CHATEAU GONTIER CEDEX,053,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0530990N,SECT INITIATION FORMATION PROF,,53000,LAVAL,053,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0530991P,UNITE D'ACCUEIL POUR AUTISTES,,53000,LAVAL,053,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541192C,INSTITUT MEDICO-EDUCATIF,,54630,FLAVIGNY SUR MOSELLE,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541764Z,INSTIT MEDICO EDUC,LES TERRASSES DE MEHON,54304,LUNEVILLE CEDEX,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541771G,INSTITUT MEDICO-EDUCATIF,IMPRO ST CAMILLE,54840,BOIS DE HAYE,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541772H,INSTITUT MEDICO-EDUCATIF,JEAN BAPTISTE THIERY,54320,MAXEVILLE,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541882C,INSTITUT MEDICO-EDUCATIF,LES 3 TILLEULS,54720,CHENIERES,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541883D,INSTITUT MEDICO-EDUC. R. CAREL,MEDICO-PROFESSIONNEL,54210,ST NICOLAS DE PORT,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541884E,INSTITUT MEDICO-EDUCATIF,GEORGES FINANCE,54202,TOUL CEDEX,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541885F,INSTITUT MEDICO-EDUCATIF,LES ORCHIDEES,54153,BRIEY CEDEX,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541886G,INSTITUT MEDICO-EDUCATIF,CLAUDE MONET,54700,PONT A MOUSSON,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541887H,INSTITUT MEDICO-EDUC ET REEDUC,JEAN L'HOTE,54305,LUNEVILLE CEDEX,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541888J,ETABL.POUR DEF.INTELLECTUELS,IME CLAIRMATIN,54260,LONGUYON,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541889K,INSTITUT MEDICO-EDUCATIF,RAYMOND CAREL,54504,VANDOEUVRE LES NANCY CEDEX,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0541955G,ETABL.POUR DEF.INTELLECTUELS,,54110,ROSIERES AUX SALINES,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0542431Z,UNITE D'INSERTION RATTACHEE,A L'IME DE FLAVIGNY,54000,NANCY,054,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0550777W,SEISAAM 55 SITE DE BAR-LE-DUC,LA FEDERATION,55000,BAR LE DUC,055,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0550918Z,INSTITUT MEDICO-EDUCATIF,ADAPEIM,55800,VASSINCOURT,055,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0550945D,ETABL.POUR DEF.INTELLECTUELS,INSTITUT MEDICO EDUCATIF,55000,BAR LE DUC,055,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0550946E,INSTITUT MEDICO-EDUCATIF,ADAPEIM,55840,THIERVILLE SUR MEUSE,055,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0550968D,ETABL.POUR DEF.INTELLECTUELS,,55000,BAR LE DUC,055,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0551010Z,SEISAAM 55 SITE DE STENAY,,55700,STENAY,055,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0551020K,SEISAAM 55 SITE DE VERDUN,INSTITUT MEDICO EDUCATIF,55100,VERDUN,055,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0551083D,INSTITUT MEDICO EDUCATIF,ADAPEIM,55200,COMMERCY,055,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0560837F,ETABL.POUR DEF.INTELLECTUELS,LOUIS LE MOENIC,56240,INGUINIEL,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0560838G,ETABL.POUR DEF.INTELLECTUELS,KERDIRET,56270,PLOEMEUR,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0560844N,INSTITUT MEDICO EDUCATIF,ITEP,56350,RIEUX,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0560848T,ETABL.POUR DEF.INTELLECTUELS,LE BONDON,56000,VANNES,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0560850V,ETABL.POUR DEF.INTELLECTUELS,IMP LES PAPILLONS BLANCS,56000,VANNES,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0560852X,ETABL.POUR DEF.INTELLECTUELS,IMP LE MOULIN VERT,56640,ARZON,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0561323J,ETABL.POUR DEF.INTELLECTUELS,POLE LE MOULIN VERT DE KEROZER,56890,ST AVE,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0561324K,ETABL.POUR DEF.INTELLECTUELS,AR STER LE TRELEAU,56300,PONTIVY,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0561325L,ETABL.POUR DEF.INTELLECTUELS,FANDGUELIN,56220,ST JACUT LES PINS,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0561328P,ETABL.POUR DEF.INTELLECTUELS,LES PAPILLONS BLANCS,56860,SENE,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0561382Y,INSTITUT MEDICO EDUCATIF,LES BRUYERES,56420,PLUMELEC,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0561451Y,ETABL.POUR DEF.INTELLECTUELS,ANGE GUEPIN,56300,PONTIVY,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0561453A,ETABL.POUR DEF.INTELLECTUELS,FOYER DE KERBLAYE,56370,SARZEAU,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0561833N,INSTITUT MEDICO EDUCATIF,KERPONT,56850,CAUDAN,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0561916D,INSTITUT MEDICO EDUCATIF,ITEP,56530,QUEVEN,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0561971N,ETABL POUR DEF INTELLECTUELS,LOUIS LE MOENIC,56600,LANESTER,056,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572283X,INSTITUT MEDICO-EDUCATIF,LES GENETS,57150,CREUTZWALD,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572284Y,INSTITUT MEDICO-EDUCATIF,LA ROSERAIE JUSSY,57163,MOULINS LES METZ CEDEX,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572287B,INSTITUT MEDICO-EDUCATIF,INST MEDICO PEDAG ESPERANCE,57070,METZ,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572288C,INSTITUT MEDICO-EDUCATIF,LE POINT DU JOUR,57120,PIERREVILLERS,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572289D,ETABL.POUR DEF.INTELLECTUELS,INST MEDICO EDU LA SOURCE,57780,ROSSELANGE,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572290E,INSTITUT MEDICO-EDUCATIF,LES JONQUILLES,57401,SARREBOURG CEDEX,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572291F,INSTITUT MEDICO-PEDAGOGIQUE,VERT COTEAU,57105,THIONVILLE CEDEX,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572292G,INSTITUT MEDICO-EDUCATIF,LE WENHECK,57730,VALMONT,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572293H,INSTITUT MEDICO-PROFESSIONNEL,LES MYOSOTIS,57310,GUENANGE,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572508S,INSTITUT MEDICO-EDUCATIF,LES PRIMEVERES,57240,KNUTANGE,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572510U,INSTITUT MEDICO-EDUCATIF,I.M.PROFESSIONNEL,57340,MORHANGE,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572511V,INSTITUT MEDICO-EDUCATIF,LE ROSAIRE,57480,RETTEL,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572512W,ETABL.POUR DEF.INTELLECTUELS,INST MEDICO PEDAG ST JOSEPH,57480,SIERCK LES BAINS,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572513X,INSTITUT MEDICO-EDUCATIF,LE HIMMELSBERG,57208,SARREGUEMINES CEDEX,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572571K,INSTITUT MEDICO-EDUCATIF,EMILE FRIANT,57260,DIEUZE,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572760R,INSTITUT MEDICO EDUCATIF,DE GUISE,57600,FORBACH,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572765W,INSTITUT MEDICO-EDUCATIF,I.M.PROF.LA HORGNE,57950,MONTIGNY LES METZ,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572766X,ETABL.POUR DEF.INTELLECTUELS,INSTITUT MEDICO-PROFESSIONNEL,57540,PETITE ROSSELLE,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0572788W,INSTITUT MEDICO-EDUCATIF,INST.MEDICO-PROFES.STE ANNE,57670,ALBESTROFF,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0573341X,INSTITUT MEDICO-EDUCATIF,LA SAPINIERE,57710,AUMETZ,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0573735A,INSTITUT MEDICO EDUCATIF PRIVE,IMP ESPERANCE,57070,METZ,057,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580320H,INSTITUT MEDICO EDUCATIF,EDOUARD SEGUIN,58400,MESVES SUR LOIRE,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580554M,INSTITUT MEDICO EDUCATIF,VAUBAN,58420,GUIPY,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580580R,ETABL.POUR DEF.INTELLECTUELS,INSTITUT MEDICO-EDUCATIF,58640,,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580658A,INSTITUT MEDICO EDUCATIF,CLAUDE JOLY,58180,MARZY,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580659B,ETABL.POUR DEF.INTELLECTUELS,CENTRE POUR ARRIERES PROFONDS,58400,LA CHARITE SUR LOIRE,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580762N,CENTRE MEDICO EDUCATIF,LOUIS WILLEMAIN,58130,URZY,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580921L,ETABL.POUR DEF.INTELLECTUELS,INSTITUT DE VALOMBRE,58460,CORVOL L ORGUEILLEUX,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580925R,INSTITUT MEDICO EDUCATIF,LES GRAVIERS,58640,VARENNES VAUZELLES,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580949S,INSTITUT MEDICO EDUCATIF,LA POSTAILLERIE,58500,CLAMECY,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580954X,INSTITUT MEDICO EDUCATIF,INTEGRE LES GRAVIERS,58600,GARCHIZY,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580963G,INSTITUT MEDICO EDUCATIF,VAUBAN,58000,NEVERS,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580982C,IME VAUBAN ANTENNE DE COSNE,,58200,COSNE COURS SUR LOIRE,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580989K,ANTENNE IME DE GUIPY,IME VAUBAN ANTENNE DE DECIZE,58300,DECIZE,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580994R,ANTENNE DE L'IME DE CLAMECY,IME CLAMECY ANTENNE DE VARENNE,58640,VARENNES VAUZELLES,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580995S,ANTENNE DE L'IME DE CLAMECY,IME CLAMECY ANTENNE DE COULANG,58660,COULANGES LES NEVERS,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580996T,ANTENNE DE L'IME DE CLAMECY,IME CLAMECY ANTENNE DE URZY,58130,URZY,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580997U,ANTENNE DE L'IME DE GUIPY,IME VAUBAN ANTENNE DE PREMERY,58700,PREMERY,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0580998V,ANTENNE IME DE GUIPY,IME GUIPY ANTENNE DE NEVERS,58000,NEVERS,058,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0590922G,INSTITUT MEDICO-EDUCATIF,JEAN STIEVENARD,59722,DENAIN CEDEX,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0591548M,INSTITUT MEDICO-EDUCATIF,LA ROSERAIE,59000,LILLE,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0592172R,INSTITUT MEDICO-EDUCATIF,LA SAPINIERE,59270,ST JANS CAPPEL,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0592623F,INSTITUT MEDICO-EDUCATIF,PROFESSEUR LOUIS CHRISTIAENS,59820,GRAVELINES,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0593211V,ETABL.POUR DEF.INTELLECTUELS,I.M.P LES PAPILLONS BLANCS,59240,DUNKERQUE,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0593212W,INSTITUT MEDICO-EDUCATIF,LES TOURNESOLS,59500,DOUAI,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0593592J,INSTITUT MEDICO-EDUCATIF,L'EVEIL,59120,LOOS,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0593594L,INSTITUT MEDICO-EDUCATIF,ITEP LA CORDEE,59136,WAVRIN,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0593595M,INSTITUT MEDICO-EDUCATIF,ISETA,59126,LINSELLES,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0593596N,INSTITUT MEDICO-EDUCATIF,IMPRO DU ROITELET,59200,TOURCOING,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0593597P,INSTITUT MEDICO-EDUCATIF,LA SOURCE,59601,MAUBEUGE CEDEX,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0593598R,INSTITUT MEDICO-EDUCATIF,LE FROMEZ,59320,HALLENNES LEZ HAUBOURDIN,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594251A,INSTITUT MEDICO-EDUCATIF,CHATEAU LA HUDA,59132,TRELON,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594503Z,INSTITUT MEDICO-EDUCATIF,LES ROUISSOIRS,59490,SOMAIN,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594728U,INSTITUT MEDICO-EDUCATIF,LES DEUX RIVES,59416,ANZIN CEDEX,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594731X,INSTITUT MEDICO-EDUCATIF,SAINT DRUON,59400,CAMBRAI,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594733Z,INSTITUT MEDICO-EDUCATIF,LE BOIS FLEURI,59360,LE CATEAU CAMBRESIS,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594735B,INSTITUT MEDICO-EDUCATIF,DE COPPENAXFORT,59279,CRAYWICK,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594736C,INSTITUT MEDICO-EDUCATIF,LUCIEN COOLZAET,59258,CREVECOEUR SUR L ESCAUT,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594740G,INSTITUT MEDICO-EDUCATIF,LE BANC VERT,59640,DUNKERQUE,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594741H,INSTITUT MEDICO-EDUCATIF,DUNKERQUOIS,59944,DUNKERQUE CEDEX 2,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594742J,INSTITUT MEDICO-EDUCATIF,LA VICOIGNETTE,59580,EMERCHICOURT,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594745M,INSTITUT MEDICO-EDUCATIF,LES LURONS,59529,HAZEBROUCK CEDEX,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594747P,INSTITUT MEDICO-EDUCATIF,JEAN LOMBARD,59116,HOUPLINES,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594748R,INSTITUT MEDICO-EDUCATIF,CHARLES DE FOUCAULD,59572,JEUMONT CEDEX,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594761E,INSTITUT MEDICO-EDUCATIF,INTERNAT THERAPEUTIQUE,59230,ST AMAND LES EAUX,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594762F,INSTITUT MEDICO-EDUCATIF,,59440,ST HILAIRE SUR HELPE,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594764H,INSTITUT MEDICO-EDUCATIF,DENISE LEGRIX,59113,SECLIN,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594770P,INSTITUT MEDICO-EDUCATIF,L'EAU VIVE,59300,VALENCIENNES,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594773T,ETABL.POUR DEF.INTELLECTUELS,FOYER LES LAURIERS,59650,VILLENEUVE D ASCQ,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594774U,INSTITUT MEDICO-EDUCATIF,ALBERTINE LELANDAIS,59493,VILLENEUVE D ASCQ,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594776W,INSTITUT MEDICO-EDUCATIF,CHEMIN VERT,59493,VILLENEUVE D ASCQ,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594777X,INSTITUT MEDICO-EDUCATIF,IMPRO,59261,WAHAGNIES,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594823X,INSTITUT MEDICO-EDUCATIF,LE RECUEIL,59650,VILLENEUVE D ASCQ,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0594987A,ETABL.POUR DEF.INTELLECTUELS,I.M.P ET PROFESSIONNEL,59177,SAINS DU NORD,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0595304V,INSTITUT MEDICO-EDUCATIF,LA CIGOGNE,59163,CONDE SUR L ESCAUT,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0595525K,INSTITUT MEDICO-EDUCATIF,DE ROSENDAEL,59240,DUNKERQUE,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0595526L,INSTITUT MEDICO-EDUCATIF,,59610,FOURMIES,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0595527M,INSTITUT MEDICO-EDUCATIF,LE MESNIL DE LA BEUVRECQUE,59700,MARCQ EN BAROEUL,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0595528N,INSTITUT MEDICO-EDUCATIF,LEONCE MALECOT,59731,ST AMAND LES EAUX CEDEX,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0595591G,INSTITUT MEDICO-EDUCATIF,INSTITUT MEDICO-ADAPTATIF,59182,MONTIGNY EN OSTREVENT,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0596060S,INSTITUT MEDICO-EDUCATIF,ANNEXE IMPRO LA TOURELLE ANZIN,59278,ESCAUTPONT,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0596555E,INSTITUT MEDICO EDUCATIF,ANNEXE IME LUCIEN COOLZAET,59400,CAMBRAI,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0596719H,INSTITUT MEDICO-EDUCATIF,LINO VENTURA,59000,LILLE,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0596967C,INSTITUT MEDICO-EDUCATIF,LA FONTINELLE,59112,ANNOEULLIN,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0597033Z,INSTITUT MEDICO-EDUCATIF,CENTRE ALISSA,59494,AUBRY DU HAINAUT,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0597036C,INSTITUT MEDICO-EDUCATIF,ODYSSEE,59610,FOURMIES,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0597040G,INSTITUT MEDICO-EDUCATIF,DU LITTORAL,59820,GRAVELINES,059,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0601329U,ETABL.POUR DEF.INTELLECTUELS,LA FAISANDERIE,60203,COMPIEGNE CEDEX,060,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0601332X,ETABL.POUR DEF.INTELLECTUELS,LE CLOS DU NID DE L OISE,60340,ST LEU D ESSERENT,060,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0601418R,ETABL.POUR DEF.INTELLECTUELS,INSTITUT MEDICO-PEDAGOGIQUE,60000,BEAUVAIS,060,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0601482K,ETABL.POUR DEF.INTELLECTUELS,LES PAPILLONS BLANCS,60000,BEAUVAIS,060,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0601498C,ETABL.POUR DEF.INTELLECTUELS,INSTITUT MEDICO-PEDAGOGIQUE,60800,CREPY EN VALOIS,060,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0601552L,ETABL.POUR DEF.INTELLECTUELS,INST. MEDICO PROF.ST JEAN DIEU,60240,LAVILLETERTRE,060,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0601555P,ETABL.POUR DEF.INTELLECTUELS,CENTRE JEAN NICOLE,60710,CHEVRIERES,060,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
0601556R,ETABL.POUR DEF.INTELLECTUELS,LE PLESSIS POMMERAY,60100,CREIL,060,240,INSTITUT MEDICO-EDUCATIF,SANTE ET SOLIDARITE NATIONALE
