numero_UAI,dénomination_principale,Dénomination_complémentaire,code_postal_UAI,localité_acheminement,departement,nature_uai,libelle_court,nature libellé,Ministère tutelle ,UAIDTO,ACADCO
0672925R,S EDUC SPECIALE SOINS DOMICILE,CENTRE LOUIS BRAILLE,67100,STRASBOURG,067,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,15
0672926S,S EDUC SPECIALE SOINS DOMICILE,SESSAD LE ROETHIG,67100,STRASBOURG,067,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,15
0672975V,SESSAD DE ROSHEIM ETABLISSEMEN,PAPILLONS BLANCS D'ALSACE,67560,ROSHEIM,067,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,15
0672916F,S EDUC SPECIALE SOINS DOMICILE,RIED NORD SONNENHOF,67242,BISCHWILLER CEDEX,067,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,15
0682003H,S EDUC SPECIALE SOINS DOMICILE,DEFIS 68 M SINCLAIR,68120,PFASTATT,068,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,15
0682001F,S EDUC SPECIALE SOINS DOMICILE,LES ENFANTS D ABORD,68802,THANN CEDEX,068,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,15
0693915F,S EDUC SPECIALE SOINS DOMICILE,LES EAUX VIVES,69520,GRIGNY,069,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,6-Jun-02,10
0693999X,S EDUC SPECIALE SOINS DOMICILE,HANDAS,69100,VILLEURBANNE,069,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Oct-03,10
0693998W,S EDUC SPECIALE SOINS DOMICILE,ALINE RENARD,69141,RILLIEUX LA PAPE CEDEX,069,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,21-Dec-01,10
0693922N,S EDUC SPECIALE SOINS DOMICILE,DES TROIS PAGES,69220,BELLEVILLE EN BEAUJOLAIS,069,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,17-Jun-02,10
0693926T,S EDUC SPECIALE SOINS DOMICILE,DES PASSEMENTIERS,69601,VILLEURBANNE CEDEX,069,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,17-Jun-02,10
0694013M,S EDUC SPECIALE SOINS DOMICILE,APAJH,69400,VILLEFRANCHE SUR SAONE,069,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,15-Nov-04,10
0701140J,S EDUC SPECIALE SOINS DOMICILE,ADAPEI,70302,LUXEUIL LES BAINS CEDEX,070,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-98,03
0711757Z,CENTRE REEDUCATION OUIE PAROLE,CROP,71100,CHALON SUR SAONE,071,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-83,07
0721615P,S EDUC SPECIALE SOINS DOMICILE,TRIMARAN,72000,LE MANS,072,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0721616R,S EDUC SPECIALE SOINS DOMICILE,LA COURTE ECHELLE,72100,LE MANS,072,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0721681L,S EDUC SPECIALE SOINS DOMICILE,,72000,LE MANS,072,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,26-May-08,17
0731492A,S EDUC SPECIALE SOINS DOMICILE,TARENTAISE,73202,ALBERTVILLE CEDEX,073,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-May-02,08
0741612A,S EDUC SPECIALE SOINS DOMICILE,SAIS,74000,ANNECY,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,10-Jun-02,08
0741610Y,S EDUC SPECIALE SOINS DOMICILE,BELLUARD,74960,ANNECY,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-May-02,08
0741611Z,S EDUC SPECIALE SOINS DOMICILE,L'ESPOIR,74133,BONNEVILLE CEDEX,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,10-Jun-02,08
0741614C,S EDUC SPECIALE SOINS DOMICILE,LE CLOS FLEURI,74190,PASSY,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,10-Jun-02,08
0741737L,SESSAD AUTISME 74,SESSAD AUTISME 74,74000,ANNECY,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-15,08
0741662E,S EDUC SPECIALE SOINS DOMICILE,NOUS AUSSI,74301,CLUSES CEDEX,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,29-Jul-05,08
0741643J,S EDUC SPECIALE SOINS DOMICILE,LE HOME FLEURI,74130,BONNEVILLE,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,08
0741646M,S EDUC SPECIALE SOINS DOMICILE,CLOS POISAT,74200,THONON LES BAINS,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,08
0741656Y,S EDUC SPECIALE SOINS DOMICILE,LE RELAIS,74940,ANNECY,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Apr-05,08
0741657Z,S EDUC SPECIALE SOINS DOMICILE,SAAAIS 74,74940,ANNECY,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-May-05,08
0741658A,S EDUC SPECIALE SOINS DOMICILE,INJS,74940,ANNECY,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,08
0741694P,S EDUC SPECIALE SOINS DOMICILE,NOTRE DAME DU SOURIRE,74940,ANNECY,074,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-07,08
0422224P,S EDUC SPECIALE SOINS DOMICILE,ONDAINE,42700,FIRMINY,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,29-Apr-03,10
0422236C,S EDUC SPECIALE SOINS DOMICILE,DU HAUT FOREZ,42130,BOEN SUR LIGNON,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,29-Apr-03,10
0430989S,SESSAD,SPMS,43770,CHADRAC,043,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Oct-04,06
0442463N,S EDUC SPECIALE SOINS DOMICILE,TILLAY-ST HERBLAIN,44800,ST HERBLAIN,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442461L,S EDUC SPECIALE SOINS DOMICILE,LES PERRIERES,44110,CHATEAUBRIANT,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442609X,S EDUC SPECIALE SOINS DOMICILE,MARIE MOREAU,44612,ST NAZAIRE CEDEX,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Mar-07,17
0460709W,S EDUC SPECIALE SOINS DOMICILE,IME CTRE GENYER,46000,CAHORS,046,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Jun-02,16
0460715C,S EDUC SPECIALE SOINS DOMICILE,NAYRAC,46100,FIGEAC,046,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Jun-02,16
0460716D,S EDUC SPECIALE SOINS DOMICILE,IR VIAZAC,46100,FIGEAC,046,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Jun-02,16
0451675B,S EDUC SPECIALE SOINS DOMICILE,AIDAPHI,45803,ST JEAN DE BRAYE CEDEX,045,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-07,18
0501944S,S EDUC SPECIALE SOINS DOMICILE,IME LE MONT JOLI,50301,AVRANCHES CEDEX,050,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Jun-02,05
0521114D,S EDUC SPECIALE SOINS DOMICILE,BOIS L'ABBESSE LANGRES,52200,LANGRES,052,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Jan-01,19
0542421N,S EDUC SPECIALE SOINS DOMICILE,DE L'IME FLAVIGNY,54630,FLAVIGNY SUR MOSELLE,054,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-99,12
0550919A,S EDUC SPECIALE SOINS DOMICILE,PEP BAR-LE-DUC,55000,BAR LE DUC,055,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,12-Sep-79,12
0550965A,S EDUC SPECIALE SOINS DOMICILE,PEP VERDUN,55100,VERDUN,055,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-83,12
0551060D,S EDUC SPECIALE SOINS DOMICILE,PROFESSIONNEL DE L'I.M.E,55840,THIERVILLE SUR MEUSE,055,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,8-Apr-06,12
0551064H,S EDUC SPECIALE SOINS DOMICILE,POLYHAND LES PETITS PRINCES,55200,COMMERCY,055,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Oct-07,12
0580965J,SERV.EDUC.SPEC.SOINS A DOMICIL,POUR DEFICIENTS AUDITIFS,58000,NEVERS,058,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Nov-03,07
0596800W,SERV EDUC SPEC SOINS DOMICILE,SESSAD DE L'ADAPT,59600,MAUBEUGE,059,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-06,09
0596843T,SERV EDUC SPEC SOINS DOMICILE,ITEP DE ROUBAIX,59100,ROUBAIX,059,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-07,09
0597146X,S EDUC SPECIALE SOINS DOMICILE,LE REBOND,59240,DUNKERQUE,059,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-19,09
0624258S,SERV EDUC SPEC SOINS DOMICILE,ASSOCIATION PARALYSES FRANCE,62800,LIEVIN,062,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,09
0624269D,SERV EDUC SPEC SOINS DOMICILE,EPDAEAH L'ELAN,62800,LIEVIN,062,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-00,09
0624341G,SERV EDUC SPEC SOINS DOMICILE,DE L'IME AU MOULIN SAINT MICHE,62130,ST POL SUR TERNOISE,062,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,9-Aug-04,09
0624337C,SERV EDUC SPEC SOINS DOMICILE,COM DE L'ATREBATE ARRAS,62000,ARRAS,062,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,9-Aug-04,09
0631943V,SESSAD,LES DOMES,63400,CHAMALIERES,063,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-May-02,06
0641982G,SESSAD IR CRAPS-MOURENX,,64150,MOURENX,064,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,04
0641993U,SESSAD DU CRM HERAURITZ,,64480,USTARITZ,064,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,04
0660705H,ETABL.P.DEFICIENTS SENSORIELS,,66000,PERPIGNAN,066,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,9-Sep-82,11
0660888G,S EDUC SPECIALE SOINS DOMICILE,,66000,PERPIGNAN,066,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,11
0672919J,S EDUC SPECIALE SOINS DOMICILE,APH DES VOSGES DU NORD,67340,INGWILLER,067,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,15
0681999D,S EDUC SPECIALISEE ET SOINS A,MULHOUSE,68350,BRUNSTATT DIDENHEIM,068,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,15
0694001Z,S EDUC SPECIALE SOINS DOMICILE,DES TROIS PAGES,69220,BELLEVILLE EN BEAUJOLAIS,069,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-03,10
0731497F,S EDUC SPECIALE SOINS DOMICILE,,73300,ST JEAN DE MAURIENNE,073,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-May-02,08
0430977D,SESSAD,LES CEVENNES,43700,BRIVES CHARENSAC,043,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-May-02,06
0431028J,SPMS-SESSAD,,43770,CHADRAC,043,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,18-Nov-04,06
0442462M,S EDUC SPECIALE SOINS DOMICILE,LES BARBUSSIERES,44680,ST HILAIRE DE CHALEONS,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442470W,S EDUC SPECIALE SOINS DOMICILE,SEDDAD APF,44120,VERTOU,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0531003C,S EDUC SPECIALE SOINS DOMICILE,SERV INSERTION,53000,LAVAL,053,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-05,17
0551036C,S EDUC SPECIALE SOINS DOMICILE,LA FEDERATION,55000,BAR LE DUC,055,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-93,12
0551049S,S EDUC SPECIALE SOINS DOMICILE,ANTENNE SESSAD APF,55000,BAR LE DUC,055,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,12
0561841X,S EDUC SPECIALE SOINS DOMICILE,INTEGRATION SCOLAIRE 3-25 ANS,56400,BRECH,056,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,8-Feb-91,14
0542508H,S EDUC SPECIALE SOINS DOMICILE,,54220,MALZEVILLE,054,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-09,12
0641977B,S EDUC SPECIALE SOINS DOMICILE,,64230,LESCAR,064,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,04
0651034W,S EDUC SPECIALE SOINS DOMICILE,JEAN-MARIE LARRIEU,65200,BAGNERES DE BIGORRE,065,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Jun-02,16
0693925S,S EDUC SPECIALE SOINS DOMICILE,DE LA PEP,69100,VILLEURBANNE,069,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,17-Jun-02,10
0711832F,SESSAD,D'HURIGNY,71870,HURIGNY,071,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,12-Jun-02,07
0711927J,SESSAD,,71400,AUTUN,071,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,20-Feb-17,07
0422206V,S EDUC SPECIALE SOINS DOMICILE,ST ANDRE MABLY,42300,ROANNE,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,10
0422207W,S EDUC SPECIALE SOINS DOMICILE,DU PILAT,42400,ST CHAMOND,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,10
0422212B,S EDUC SPECIALE SOINS DOMICILE,SESSAD TRISOMIE 21 SOLEIL,42000,ST ETIENNE,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,10
0422213C,S EDUC SPECIALE SOINS DOMICILE,APF,42000,ST ETIENNE,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,10
0422229V,S EDUC SPECIALE SOINS DOMICILE,ROANNE,42300,ROANNE,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,29-Apr-03,10
0422230W,S EDUC SPECIALE SOINS DOMICILE,LE PHENIX,42300,ROANNE,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,29-Apr-03,10
0422231X,S EDUC SPECIALE SOINS DOMICILE,SSEFIS(FOL),42000,ST ETIENNE,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,29-Apr-03,10
0422232Y,S EDUC SPECIALE SOINS DOMICILE,SSEFIS PLEIN VENT,42000,ST ETIENNE,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,29-Apr-03,10
0422233Z,S EDUC SPECIALE SOINS DOMICILE,SESSAD PARC REVOLLIER,42000,ST ETIENNE,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,29-Apr-03,10
0422260D,S EDUC SPECIALE SOINS DOMICILE,SESSAD TARON,42300,MABLY,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,16-Dec-05,10
0422279Z,S EDUC SPECIALE SOINS DOMICILE,SESSAD ANDRE ROMANET,42300,ROANNE,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-10,10
0422286G,S EDUC SPECIALE SOINS DOMICILE,SESSAD FRIDA KAHLO,42600,MONTBRISON,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-11,10
0422200N,S EDUC SPECIALE SOINS DOMICILE,SUD FOREZ,42160,ANDREZIEUX BOUTHEON,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,10
0422203S,S EDUC SPECIALE SOINS DOMICILE,AVENUE GAMBETTA,42300,ROANNE,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,10
0422204T,S EDUC SPECIALE SOINS DOMICILE,SESSAD ROANNE RIORGES,42153,RIORGES,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,10
0422245M,S EDUC SPECIALE SOINS DOMICILE,SAAAIS DEF VISUELS,42000,ST ETIENNE,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,6-Feb-04,10
0422250T,S EDUC SPECIALE SOINS DOMICILE,DE L'ALAUDA,42600,MONTBRISON,042,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,10
0430959J,SESSAD,APAJH LE PUY,43000,LE PUY EN VELAY,043,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-96,06
0442460K,S EDUC SPECIALE SOINS DOMICILE,GOUPILLAIS,44130,BLAIN,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442465R,S EDUC SPECIALE SOINS DOMICILE,CLEMENCE ROYER,44600,ST NAZAIRE,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442466S,S EDUC SPECIALE SOINS DOMICILE,SESSAD LA DURANTIERE,44100,NANTES,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442467T,S EDUC SPECIALE SOINS DOMICILE,SAAAIS LA DURANTIERE,44100,NANTES,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442469V,S EDUC SPECIALE SOINS DOMICILE,SSEFIS LA DURANTIERE,44100,NANTES,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442471X,S EDUC SPECIALE SOINS DOMICILE,LUCIEN DESMONTS,44600,ST NAZAIRE,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442477D,S EDUC SPECIALE SOINS DOMICILE,SESSAD  LES PERRINES,44880,SAUTRON,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442474A,S EDUC SPECIALE SOINS DOMICILE,JEAN DURET,44100,NANTES,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442475B,S EDUC SPECIALE SOINS DOMICILE,SESSAD LES SORINIERES,44840,LES SORINIERES,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,17
0442540X,SESSAD JEUNESSE ET AVENIR,JEUNESSE ET AVENIR,44350,GUERANDE,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-03,17
0442544B,S EDUC SPECIALE SOINS DOMICILE,SAAAIS HAUTS THEBAUDIERES,44120,VERTOU,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,17
0442654W,S EDUC SPECIALE SOINS DOMICILE,SESSAD SILLON DE BRETAGNE,44800,ST HERBLAIN,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,10-Jun-09,17
0442653V,S EDUC SPECIALE SOINS DOMICILE,,44120,VERTOU,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,9-Jun-09,17
0442710G,S EDUC SPECIALE SOINS DOMICILE,SESSAD LA TURMELIERE,44330,VALLET,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-10,17
0442641G,S EDUC SPECIALE SOINS DOMICILE,ARRIA,44700,ORVAULT,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-08,17
0442738M,S EDUC SPECIALE SOINS DOMICILE,LA PIERRE BLEUE,44170,NOZAY,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,16-Apr-12,17
0442796A,S EDUC SPECIALE SOINS DOMICILE,PEN BRON NANTES,44470,THOUARE SUR LOIRE,044,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Jan-15,17
0451541F,S EDUC SPECIALE SOINS DOMICILE,CENTRE DE SOINS DES PEP,45650,ST JEAN LE BLANC,045,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Sep-81,18
0451617N,S EDUC SPECIALE SOINS DOMICILE,IME LE CHATEAU,45130,BAULE,045,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Jun-02,18
0451618P,S EDUC SPECIALE SOINS DOMICILE,IME CLOS ST MARTIAL,45110,CHATEAUNEUF SUR LOIRE,045,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Jun-02,18
0451619R,S EDUC SPECIALE SOINS DOMICILE,2SAI,45500,GIEN,045,290,SESSD,SERV.EDUC.SPECIALE ET SOINS A DOMICILE,SANTE ET SOLIDARITE NATIONALE,1-Jun-02,18
